"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","DOCCONSULT","TOT","CAP","A","1977",5,
"CAN","DOCCONSULT","TOT","CAP","A","1978",5.1,
"CAN","DOCCONSULT","TOT","CAP","A","1979",5.3,
"CAN","DOCCONSULT","TOT","CAP","A","1980",5.6,
"CAN","DOCCONSULT","TOT","CAP","A","1981",5.6,
"CAN","DOCCONSULT","TOT","CAP","A","1982",5.8,
"CAN","DOCCONSULT","TOT","CAP","A","1983",5.9,
"CAN","DOCCONSULT","TOT","CAP","A","1984",6,
"CAN","DOCCONSULT","TOT","CAP","A","1985",6.2,
"CAN","DOCCONSULT","TOT","CAP","A","1986",6.4,
"CAN","DOCCONSULT","TOT","CAP","A","1987",6.6,
"CAN","DOCCONSULT","TOT","CAP","A","1988",6.6,
"CAN","DOCCONSULT","TOT","CAP","A","1989",6.8,
"CAN","DOCCONSULT","TOT","CAP","A","1990",6.7,
"CAN","DOCCONSULT","TOT","CAP","A","1991",6.9,
"CAN","DOCCONSULT","TOT","CAP","A","1992",6.9,
"CAN","DOCCONSULT","TOT","CAP","A","1993",6.8,
"CAN","DOCCONSULT","TOT","CAP","A","1994",6.6,
"CAN","DOCCONSULT","TOT","CAP","A","1995",6.5,
"CAN","DOCCONSULT","TOT","CAP","A","1996",6.4,
"CAN","DOCCONSULT","TOT","CAP","A","1997",6.3,
"CAN","DOCCONSULT","TOT","CAP","A","1998",6.4,
"CAN","DOCCONSULT","TOT","CAP","A","1999",6.5,"B"
"CAN","DOCCONSULT","TOT","CAP","A","2000",6.7,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2001",6.9,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2002",6.9,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2003",7,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2004",6.9,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2005",7,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2006",6.9,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2007",7,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2008",7.2,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2009",7,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2010",7,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2011",7,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2012",6.9,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2013",6.7,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2014",6.6,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2015",6.6,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2016",6.6,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2017",6.6,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2018",6.5,"E"
"CAN","DOCCONSULT","TOT","CAP","A","2019",6.6,"E"
"CZE","DOCCONSULT","TOT","CAP","A","2015",7.7,"E"
"CZE","DOCCONSULT","TOT","CAP","A","2016",7.7,"E"
"CZE","DOCCONSULT","TOT","CAP","A","2017",7.7,"E"
"CZE","DOCCONSULT","TOT","CAP","A","2018",7.9,"E"
"CZE","DOCCONSULT","TOT","CAP","A","2019",7.9,"E"
"CZE","DOCCONSULT","TOT","CAP","A","2020",7.3,"E"
"DNK","DOCCONSULT","TOT","CAP","A","1990",3.7,
"DNK","DOCCONSULT","TOT","CAP","A","1991",3.8,
"DNK","DOCCONSULT","TOT","CAP","A","1992",4,
"DNK","DOCCONSULT","TOT","CAP","A","1993",3.9,
"DNK","DOCCONSULT","TOT","CAP","A","1994",4,
"DNK","DOCCONSULT","TOT","CAP","A","1995",4.1,
"DNK","DOCCONSULT","TOT","CAP","A","1996",4,
"DNK","DOCCONSULT","TOT","CAP","A","1997",4.1,
"DNK","DOCCONSULT","TOT","CAP","A","1998",4.2,
"DNK","DOCCONSULT","TOT","CAP","A","1999",4.1,
"DNK","DOCCONSULT","TOT","CAP","A","2000",4.2,
"DNK","DOCCONSULT","TOT","CAP","A","2001",4.2,
"DNK","DOCCONSULT","TOT","CAP","A","2002",4.3,
"DNK","DOCCONSULT","TOT","CAP","A","2003",4.3,
"DNK","DOCCONSULT","TOT","CAP","A","2004",4.4,
"DNK","DOCCONSULT","TOT","CAP","A","2005",4.5,
"DNK","DOCCONSULT","TOT","CAP","A","2006",4.5,
"DNK","DOCCONSULT","TOT","CAP","A","2007",4.5,
"DNK","DOCCONSULT","TOT","CAP","A","2008",4.6,
"DNK","DOCCONSULT","TOT","CAP","A","2009",4.6,
"DNK","DOCCONSULT","TOT","CAP","A","2010",4.6,
"DNK","DOCCONSULT","TOT","CAP","A","2011",4.8,
"DNK","DOCCONSULT","TOT","CAP","A","2012",4.7,
"DNK","DOCCONSULT","TOT","CAP","A","2013",4.7,
"DNK","DOCCONSULT","TOT","CAP","A","2014",4.1,
"DNK","DOCCONSULT","TOT","CAP","A","2015",4.1,
"DNK","DOCCONSULT","TOT","CAP","A","2016",4.1,
"DNK","DOCCONSULT","TOT","CAP","A","2017",4.1,
"DNK","DOCCONSULT","TOT","CAP","A","2018",4.1,
"DNK","DOCCONSULT","TOT","CAP","A","2019",3.9,
"DNK","DOCCONSULT","TOT","CAP","A","2020",4,
"DNK","DOCCONSULT","TOT","CAP","A","2021",3.8,
"FIN","DOCCONSULT","TOT","CAP","A","1964",1.6,
"FIN","DOCCONSULT","TOT","CAP","A","1965",1.7,
"FIN","DOCCONSULT","TOT","CAP","A","1966",1.7,
"FIN","DOCCONSULT","TOT","CAP","A","1967",1.8,
"FIN","DOCCONSULT","TOT","CAP","A","1968",2,
"FIN","DOCCONSULT","TOT","CAP","A","1969",2.2,
"FIN","DOCCONSULT","TOT","CAP","A","1970",2.4,
"FIN","DOCCONSULT","TOT","CAP","A","1971",2.7,
"FIN","DOCCONSULT","TOT","CAP","A","1972",2.8,
"FIN","DOCCONSULT","TOT","CAP","A","1973",2.8,
"FIN","DOCCONSULT","TOT","CAP","A","1974",3,
"FIN","DOCCONSULT","TOT","CAP","A","1975",3,
"FIN","DOCCONSULT","TOT","CAP","A","1976",3,
"FIN","DOCCONSULT","TOT","CAP","A","1977",3,
"FIN","DOCCONSULT","TOT","CAP","A","1978",3,
"FIN","DOCCONSULT","TOT","CAP","A","1979",3.1,
"FIN","DOCCONSULT","TOT","CAP","A","1980",3.2,
"FIN","DOCCONSULT","TOT","CAP","A","1981",3.3,
"FIN","DOCCONSULT","TOT","CAP","A","1982",3.3,
"FIN","DOCCONSULT","TOT","CAP","A","1983",3.4,
"FIN","DOCCONSULT","TOT","CAP","A","1984",3.4,
"FIN","DOCCONSULT","TOT","CAP","A","1985",3.6,
"FIN","DOCCONSULT","TOT","CAP","A","1986",3.6,
"FIN","DOCCONSULT","TOT","CAP","A","1987",3.6,
"FIN","DOCCONSULT","TOT","CAP","A","1988",3.7,
"FIN","DOCCONSULT","TOT","CAP","A","1989",3.9,
"FIN","DOCCONSULT","TOT","CAP","A","1990",3.9,
"FIN","DOCCONSULT","TOT","CAP","A","1991",4,
"FIN","DOCCONSULT","TOT","CAP","A","1992",3.9,
"FIN","DOCCONSULT","TOT","CAP","A","1993",3.9,
"FIN","DOCCONSULT","TOT","CAP","A","1994",4,
"FIN","DOCCONSULT","TOT","CAP","A","1995",4.1,
"FIN","DOCCONSULT","TOT","CAP","A","1996",4.3,
"FIN","DOCCONSULT","TOT","CAP","A","1997",4.2,
"FIN","DOCCONSULT","TOT","CAP","A","1998",4.2,
"FIN","DOCCONSULT","TOT","CAP","A","1999",4.3,
"FIN","DOCCONSULT","TOT","CAP","A","2000",4.3,
"FIN","DOCCONSULT","TOT","CAP","A","2001",4.3,
"FIN","DOCCONSULT","TOT","CAP","A","2002",4.2,
"FIN","DOCCONSULT","TOT","CAP","A","2003",4.2,
"FIN","DOCCONSULT","TOT","CAP","A","2004",4.2,
"FIN","DOCCONSULT","TOT","CAP","A","2005",4.3,
"FIN","DOCCONSULT","TOT","CAP","A","2006",4.3,
"FIN","DOCCONSULT","TOT","CAP","A","2007",4.2,
"FIN","DOCCONSULT","TOT","CAP","A","2008",4.3,
"FIN","DOCCONSULT","TOT","CAP","A","2009",4.2,
"FIN","DOCCONSULT","TOT","CAP","A","2010",4.3,
"FIN","DOCCONSULT","TOT","CAP","A","2011",4.2,"B"
"FIN","DOCCONSULT","TOT","CAP","A","2012",4.2,
"FIN","DOCCONSULT","TOT","CAP","A","2013",4.2,
"FIN","DOCCONSULT","TOT","CAP","A","2014",4.2,
"FIN","DOCCONSULT","TOT","CAP","A","2015",4.3,
"FIN","DOCCONSULT","TOT","CAP","A","2016",4.3,
"FIN","DOCCONSULT","TOT","CAP","A","2017",4.4,
"FIN","DOCCONSULT","TOT","CAP","A","2018",4.4,
"FIN","DOCCONSULT","TOT","CAP","A","2019",4.4,
"FIN","DOCCONSULT","TOT","CAP","A","2020",4.2,
"FRA","DOCCONSULT","TOT","CAP","A","1980",4.2,
"FRA","DOCCONSULT","TOT","CAP","A","1981",4.4,
"FRA","DOCCONSULT","TOT","CAP","A","1982",4.6,
"FRA","DOCCONSULT","TOT","CAP","A","1983",4.8,
"FRA","DOCCONSULT","TOT","CAP","A","1984",4.8,
"FRA","DOCCONSULT","TOT","CAP","A","1985",5.2,
"FRA","DOCCONSULT","TOT","CAP","A","1986",5.4,
"FRA","DOCCONSULT","TOT","CAP","A","1987",5.4,
"FRA","DOCCONSULT","TOT","CAP","A","1988",5.6,
"FRA","DOCCONSULT","TOT","CAP","A","1989",5.7,
"FRA","DOCCONSULT","TOT","CAP","A","1990",5.9,
"FRA","DOCCONSULT","TOT","CAP","A","1991",6.1,
"FRA","DOCCONSULT","TOT","CAP","A","1992",6.2,
"FRA","DOCCONSULT","TOT","CAP","A","1993",6.3,
"FRA","DOCCONSULT","TOT","CAP","A","1994",6.4,
"FRA","DOCCONSULT","TOT","CAP","A","1995",6.4,
"FRA","DOCCONSULT","TOT","CAP","A","1996",6.5,
"FRA","DOCCONSULT","TOT","CAP","A","1997",6.5,
"FRA","DOCCONSULT","TOT","CAP","A","1998",6.6,
"FRA","DOCCONSULT","TOT","CAP","A","1999",6.6,
"FRA","DOCCONSULT","TOT","CAP","A","2000",6.9,"B"
"FRA","DOCCONSULT","TOT","CAP","A","2001",7.4,"B"
"FRA","DOCCONSULT","TOT","CAP","A","2002",7.3,
"FRA","DOCCONSULT","TOT","CAP","A","2003",7.2,
"FRA","DOCCONSULT","TOT","CAP","A","2004",7,
"FRA","DOCCONSULT","TOT","CAP","A","2005",7,
"FRA","DOCCONSULT","TOT","CAP","A","2006",6.8,
"FRA","DOCCONSULT","TOT","CAP","A","2007",6.8,
"FRA","DOCCONSULT","TOT","CAP","A","2008",6.7,
"FRA","DOCCONSULT","TOT","CAP","A","2009",6.7,
"FRA","DOCCONSULT","TOT","CAP","A","2010",6.7,
"FRA","DOCCONSULT","TOT","CAP","A","2011",6.8,
"FRA","DOCCONSULT","TOT","CAP","A","2012",6.7,
"FRA","DOCCONSULT","TOT","CAP","A","2013",6.4,"B"
"FRA","DOCCONSULT","TOT","CAP","A","2014",6.3,
"FRA","DOCCONSULT","TOT","CAP","A","2015",6.2,
"FRA","DOCCONSULT","TOT","CAP","A","2016",6.1,
"FRA","DOCCONSULT","TOT","CAP","A","2017",5.9,
"FRA","DOCCONSULT","TOT","CAP","A","2018",5.9,
"FRA","DOCCONSULT","TOT","CAP","A","2019",5.8,
"FRA","DOCCONSULT","TOT","CAP","A","2020",5,
"DEU","DOCCONSULT","TOT","CAP","A","1991",5.3,"D"
"DEU","DOCCONSULT","TOT","CAP","A","1992",5.7,"D"
"DEU","DOCCONSULT","TOT","CAP","A","1993",6.2,"D"
"DEU","DOCCONSULT","TOT","CAP","A","1994",6.5,"D"
"DEU","DOCCONSULT","TOT","CAP","A","1995",6.8,"D"
"DEU","DOCCONSULT","TOT","CAP","A","1996",7,"D"
"DEU","DOCCONSULT","TOT","CAP","A","1997",7.3,"D"
"DEU","DOCCONSULT","TOT","CAP","A","1998",7.4,"D"
"DEU","DOCCONSULT","TOT","CAP","A","1999",7.6,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2000",7.7,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2001",7.9,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2002",8,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2003",8,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2004",7.4,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2005",8.1,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2006",7.9,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2007",8.1,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2008",8.6,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2009",9.2,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2010",9.9,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2011",9.7,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2012",9.7,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2013",9.9,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2014",9.9,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2015",10,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2016",10,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2017",9.9,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2018",9.9,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2019",9.8,"D"
"DEU","DOCCONSULT","TOT","CAP","A","2020",9.5,"D"
"GRC","DOCCONSULT","TOT","CAP","A","1960",5.2,
"GRC","DOCCONSULT","TOT","CAP","A","1961",5.3,
"GRC","DOCCONSULT","TOT","CAP","A","1962",5.8,
"GRC","DOCCONSULT","TOT","CAP","A","1963",5.9,
"GRC","DOCCONSULT","TOT","CAP","A","1964",6.4,
"GRC","DOCCONSULT","TOT","CAP","A","1965",6.6,
"GRC","DOCCONSULT","TOT","CAP","A","1966",6.5,
"GRC","DOCCONSULT","TOT","CAP","A","1967",6.4,
"GRC","DOCCONSULT","TOT","CAP","A","1968",6.3,
"GRC","DOCCONSULT","TOT","CAP","A","1969",6.2,
"GRC","DOCCONSULT","TOT","CAP","A","1970",6.1,
"GRC","DOCCONSULT","TOT","CAP","A","1971",6.3,
"GRC","DOCCONSULT","TOT","CAP","A","1972",6.4,
"GRC","DOCCONSULT","TOT","CAP","A","1973",6.4,
"GRC","DOCCONSULT","TOT","CAP","A","1974",6.4,
"GRC","DOCCONSULT","TOT","CAP","A","1975",6.7,
"GRC","DOCCONSULT","TOT","CAP","A","1976",6.4,
"GRC","DOCCONSULT","TOT","CAP","A","1977",6.2,
"GRC","DOCCONSULT","TOT","CAP","A","1978",6.2,
"GRC","DOCCONSULT","TOT","CAP","A","1979",6,
"GRC","DOCCONSULT","TOT","CAP","A","1980",5.6,
"GRC","DOCCONSULT","TOT","CAP","A","1981",5.8,
"GRC","DOCCONSULT","TOT","CAP","A","1982",5.7,
"GRC","DOCCONSULT","TOT","CAP","A","1983",5.7,
"GRC","DOCCONSULT","TOT","CAP","A","1984",5.9,
"GRC","DOCCONSULT","TOT","CAP","A","1985",5.8,
"GRC","DOCCONSULT","TOT","CAP","A","1986",5.1,
"GRC","DOCCONSULT","TOT","CAP","A","1987",4.8,
"GRC","DOCCONSULT","TOT","CAP","A","1988",4.7,
"GRC","DOCCONSULT","TOT","CAP","A","1989",4.4,
"GRC","DOCCONSULT","TOT","CAP","A","1990",4.3,
"GRC","DOCCONSULT","TOT","CAP","A","1991",4.3,
"GRC","DOCCONSULT","TOT","CAP","A","1992",4.3,
"GRC","DOCCONSULT","TOT","CAP","A","1993",4.4,
"GRC","DOCCONSULT","TOT","CAP","A","1994",4.4,
"GRC","DOCCONSULT","TOT","CAP","A","1995",4.3,
"GRC","DOCCONSULT","TOT","CAP","A","1996",4.6,
"GRC","DOCCONSULT","TOT","CAP","A","1997",4.4,
"GRC","DOCCONSULT","TOT","CAP","A","1998",4.3,
"GRC","DOCCONSULT","TOT","CAP","A","1999",4.2,
"GRC","DOCCONSULT","TOT","CAP","A","2000",4.3,
"GRC","DOCCONSULT","TOT","CAP","A","2001",4,
"GRC","DOCCONSULT","TOT","CAP","A","2002",4,
"GRC","DOCCONSULT","TOT","CAP","A","2003",4.2,
"GRC","DOCCONSULT","TOT","CAP","A","2004",4.2,
"GRC","DOCCONSULT","TOT","CAP","A","2005",3.9,
"GRC","DOCCONSULT","TOT","CAP","A","2006",4,
"GRC","DOCCONSULT","TOT","CAP","A","2017",3.5,"B"
"GRC","DOCCONSULT","TOT","CAP","A","2018",3.3,
"GRC","DOCCONSULT","TOT","CAP","A","2019",3.5,
"GRC","DOCCONSULT","TOT","CAP","A","2020",2.7,
"GRC","DOCCONSULT","TOT","CAP","A","2021",2.7,
"HUN","DOCCONSULT","TOT","CAP","A","1975",11.1,
"HUN","DOCCONSULT","TOT","CAP","A","1976",10.6,
"HUN","DOCCONSULT","TOT","CAP","A","1977",10.3,
"HUN","DOCCONSULT","TOT","CAP","A","1978",10.3,
"HUN","DOCCONSULT","TOT","CAP","A","1979",10.4,
"HUN","DOCCONSULT","TOT","CAP","A","1980",10.5,
"HUN","DOCCONSULT","TOT","CAP","A","1981",10.6,
"HUN","DOCCONSULT","TOT","CAP","A","1982",10.6,
"HUN","DOCCONSULT","TOT","CAP","A","1983",10.8,
"HUN","DOCCONSULT","TOT","CAP","A","1984",10.9,
"HUN","DOCCONSULT","TOT","CAP","A","1985",11,
"HUN","DOCCONSULT","TOT","CAP","A","1986",11.4,
"HUN","DOCCONSULT","TOT","CAP","A","1987",11.1,
"HUN","DOCCONSULT","TOT","CAP","A","1988",11.5,
"HUN","DOCCONSULT","TOT","CAP","A","1989",11.7,
"HUN","DOCCONSULT","TOT","CAP","A","1990",13.2,
"HUN","DOCCONSULT","TOT","CAP","A","1991",13.3,
"HUN","DOCCONSULT","TOT","CAP","A","1992",13.8,
"HUN","DOCCONSULT","TOT","CAP","A","1993",13.4,
"HUN","DOCCONSULT","TOT","CAP","A","1994",9.8,"B"
"HUN","DOCCONSULT","TOT","CAP","A","1995",9.9,
"HUN","DOCCONSULT","TOT","CAP","A","1996",9.9,
"HUN","DOCCONSULT","TOT","CAP","A","1997",10.5,
"HUN","DOCCONSULT","TOT","CAP","A","1998",9.9,
"HUN","DOCCONSULT","TOT","CAP","A","1999",10.2,
"HUN","DOCCONSULT","TOT","CAP","A","2000",10.5,
